"REF_DATE","GEO","DGUID","Seasonal adjustment","Levels of government","Estimates","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2021-04","Canada","2016A000011124","Seasonally adjusted at annual rates","General governments","To non-residents","Dollars","81","millions","6","v62425562","1.1.1.144","0","","","","0"
"2020-04","Canada","2016A000011124","Seasonally adjusted at annual rates","General governments","Interest on debt","Dollars","81","millions","6","v62425563","1.1.1.145","60112","","","","0"
"2020-07","Canada","2016A000011124","Seasonally adjusted at annual rates","General governments","Interest on debt","Dollars","81","millions","6","v62425563","1.1.1.145","65424","","","","0"
"2020-10","Canada","2016A000011124","Seasonally adjusted at annual rates","General governments","Interest on debt","Dollars","81","millions","6","v62425563","1.1.1.145","63280","","","","0"
"2021-01","Canada","2016A000011124","Seasonally adjusted at annual rates","General governments","Interest on debt","Dollars","81","millions","6","v62425563","1.1.1.145","63256","","","","0"
"2021-04","Canada","2016A000011124","Seasonally adjusted at annual rates","General governments","Interest on debt","Dollars","81","millions","6","v62425563","1.1.1.145","63992","","","","0"
"2020-04","Canada","2016A000011124","Seasonally adjusted at annual rates","General governments","General governments surplus or deficit","Dollars","81","millions","6","v62425564","1.1.1.146","-439972","","","","0"
"2020-07","Canada","2016A000011124","Seasonally adjusted at annual rates","General governments","General governments surplus or deficit","Dollars","81","millions","6","v62425564","1.1.1.146","-247616","","","","0"
"2020-10","Canada","2016A000011124","Seasonally adjusted at annual rates","General governments","General governments surplus or deficit","Dollars","81","millions","6","v62425564","1.1.1.146","-159040","","","","0"
"2021-01","Canada","2016A000011124","Seasonally adjusted at annual rates","General governments","General governments surplus or deficit","Dollars","81","millions","6","v62425564","1.1.1.146","-125392","","","","0"
"2021-04","Canada","2016A000011124","Seasonally adjusted at annual rates","General governments","General governments surplus or deficit","Dollars","81","millions","6","v62425564","1.1.1.146","-158524","","","","0"
"2020-04","Canada","2016A000011124","Seasonally adjusted at annual rates","General governments","Plus: consumption of fixed capital","Dollars","81","millions","6","v62425565","1.1.1.147","78556","","","","0"
"2020-07","Canada","2016A000011124","Seasonally adjusted at annual rates","General governments","Plus: consumption of fixed capital","Dollars","81","millions","6","v62425565","1.1.1.147","78972","","","","0"
"2020-10","Canada","2016A000011124","Seasonally adjusted at annual rates","General governments","Plus: consumption of fixed capital","Dollars","81","millions","6","v62425565","1.1.1.147","79816","","","","0"
"2021-01","Canada","2016A000011124","Seasonally adjusted at annual rates","General governments","Plus: consumption of fixed capital","Dollars","81","millions","6","v62425565","1.1.1.147","81200","","","","0"
"2021-04","Canada","2016A000011124","Seasonally adjusted at annual rates","General governments","Plus: consumption of fixed capital","Dollars","81","millions","6","v62425565","1.1.1.147","83272","","","","0"
"2020-04","Canada","2016A000011124","Seasonally adjusted at annual rates","General governments","Less: non-financial capital acquisition","Dollars","81","millions","6","v62425566","1.1.1.148","92808","","","","0"
"2020-07","Canada","2016A000011124","Seasonally adjusted at annual rates","General governments","Less: non-financial capital acquisition","Dollars","81","millions","6","v62425566","1.1.1.148","94624","","","","0"
"2020-10","Canada","2016A000011124","Seasonally adjusted at annual rates","General governments","Less: non-financial capital acquisition","Dollars","81","millions","6","v62425566","1.1.1.148","98708","","","","0"
"2021-01","Canada","2016A000011124","Seasonally adjusted at annual rates","General governments","Less: non-financial capital acquisition","Dollars","81","millions","6","v62425566","1.1.1.148","103152","","","","0"
"2021-04","Canada","2016A000011124","Seasonally adjusted at annual rates","General governments","Less: non-financial capital acquisition","Dollars","81","millions","6","v62425566","1.1.1.148","101592","","","","0"
"2020-04","Canada","2016A000011124","Seasonally adjusted at annual rates","General governments","Fixed capital","Dollars","81","millions","6","v62425567","1.1.1.149","89308","","","","0"
"2020-07","Canada","2016A000011124","Seasonally adjusted at annual rates","General governments","Fixed capital","Dollars","81","millions","6","v62425567","1.1.1.149","95528","","","","0"
"2020-10","Canada","2016A000011124","Seasonally adjusted at annual rates","General governments","Fixed capital","Dollars","81","millions","6","v62425567","1.1.1.149","97888","","","","0"
"2021-01","Canada","2016A000011124","Seasonally adjusted at annual rates","General governments","Fixed capital","Dollars","81","millions","6","v62425567","1.1.1.149","101384","","","","0"
"2021-04","Canada","2016A000011124","Seasonally adjusted at annual rates","General governments","Fixed capital","Dollars","81","millions","6","v62425567","1.1.1.149","101392","","","","0"
"2020-04","Canada","2016A000011124","Seasonally adjusted at annual rates","General governments","New capital","Dollars","81","millions","6","v62425568","1.1.1.150","89308","","","","0"
"2020-07","Canada","2016A000011124","Seasonally adjusted at annual rates","General governments","New capital","Dollars","81","millions","6","v62425568","1.1.1.150","95528","","","","0"
"2020-10","Canada","2016A000011124","Seasonally adjusted at annual rates","General governments","New capital","Dollars","81","millions","6","v62425568","1.1.1.150","97888","","","","0"
"2021-01","Canada","2016A000011124","Seasonally adjusted at annual rates","General governments","New capital","Dollars","81","millions","6","v62425568","1.1.1.150","101384","","","","0"
"2021-04","Canada","2016A000011124","Seasonally adjusted at annual rates","General governments","New capital","Dollars","81","millions","6","v62425568","1.1.1.150","101392","","","","0"
"2020-04","Canada","2016A000011124","Seasonally adjusted at annual rates","General governments","Existing capital","Dollars","81","millions","6","v62425569","1.1.1.151","0","","","","0"
"2020-07","Canada","2016A000011124","Seasonally adjusted at annual rates","General governments","Existing capital","Dollars","81","millions","6","v62425569","1.1.1.151","0","","","","0"
"2020-10","Canada","2016A000011124","Seasonally adjusted at annual rates","General governments","Existing capital","Dollars","81","millions","6","v62425569","1.1.1.151","0","","","","0"
"2021-01","Canada","2016A000011124","Seasonally adjusted at annual rates","General governments","Existing capital","Dollars","81","millions","6","v62425569","1.1.1.151","0","","","","0"
"2021-04","Canada","2016A000011124","Seasonally adjusted at annual rates","General governments","Existing capital","Dollars","81","millions","6","v62425569","1.1.1.151","0","","","","0"
"2020-04","Canada","2016A000011124","Seasonally adjusted at annual rates","General governments","Inventories","Dollars","81","millions","6","v62425570","1.1.1.152","3500","","","","0"
"2020-07","Canada","2016A000011124","Seasonally adjusted at annual rates","General governments","Inventories","Dollars","81","millions","6","v62425570","1.1.1.152","-904","","","","0"
"2020-10","Canada","2016A000011124","Seasonally adjusted at annual rates","General governments","Inventories","Dollars","81","millions","6","v62425570","1.1.1.152","820","","","","0"
"2021-01","Canada","2016A000011124","Seasonally adjusted at annual rates","General governments","Inventories","Dollars","81","millions","6","v62425570","1.1.1.152","1768","","","","0"
"2021-04","Canada","2016A000011124","Seasonally adjusted at annual rates","General governments","Inventories","Dollars","81","millions","6","v62425570","1.1.1.152","200","","","","0"
"2020-04","Canada","2016A000011124","Seasonally adjusted at annual rates","General governments","Equals: net lending or net borrowing","Dollars","81","millions","6","v62425571","1.1.1.153","-454224","","","","0"
"2020-07","Canada","2016A000011124","Seasonally adjusted at annual rates","General governments","Equals: net lending or net borrowing","Dollars","81","millions","6","v62425571","1.1.1.153","-263268","","","","0"
"2020-10","Canada","2016A000011124","Seasonally adjusted at annual rates","General governments","Equals: net lending or net borrowing","Dollars","81","millions","6","v62425571","1.1.1.153","-177932","","","","0"
"2021-01","Canada","2016A000011124","Seasonally adjusted at annual rates","General governments","Equals: net lending or net borrowing","Dollars","81","millions","6","v62425571","1.1.1.153","-147344","","","","0"
"2021-04","Canada","2016A000011124","Seasonally adjusted at annual rates","General governments","Equals: net lending or net borrowing","Dollars","81","millions","6","v62425571","1.1.1.153","-176844","","","","0"


