"REF_DATE","GEO","DGUID","Seasonal adjustment","Levels of government","Estimates","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2021-01","Canada","2016A000011124","Seasonally adjusted at annual rates","General governments","From non-residents (withholding taxes)","Dollars","81","millions","6","v62425535","1.1.1.8","10276","","","","0"
"2021-04","Canada","2016A000011124","Seasonally adjusted at annual rates","General governments","From non-residents (withholding taxes)","Dollars","81","millions","6","v62425535","1.1.1.8","7332","","","","0"
"2020-04","Canada","2016A000011124","Seasonally adjusted at annual rates","General governments","Contributions to social insurance plans","Dollars","81","millions","6","v62425536","1.1.1.9","100972","","","","0"
"2020-07","Canada","2016A000011124","Seasonally adjusted at annual rates","General governments","Contributions to social insurance plans","Dollars","81","millions","6","v62425536","1.1.1.9","106988","","","","0"
"2020-10","Canada","2016A000011124","Seasonally adjusted at annual rates","General governments","Contributions to social insurance plans","Dollars","81","millions","6","v62425536","1.1.1.9","110020","","","","0"
"2021-01","Canada","2016A000011124","Seasonally adjusted at annual rates","General governments","Contributions to social insurance plans","Dollars","81","millions","6","v62425536","1.1.1.9","109992","","","","0"
"2021-04","Canada","2016A000011124","Seasonally adjusted at annual rates","General governments","Contributions to social insurance plans","Dollars","81","millions","6","v62425536","1.1.1.9","109384","","","","0"
"2020-04","Canada","2016A000011124","Seasonally adjusted at annual rates","General governments","Taxes on production and imports","Dollars","81","millions","6","v62425537","1.1.1.11","250064","","","","0"
"2020-07","Canada","2016A000011124","Seasonally adjusted at annual rates","General governments","Taxes on production and imports","Dollars","81","millions","6","v62425537","1.1.1.11","279748","","","","0"
"2020-10","Canada","2016A000011124","Seasonally adjusted at annual rates","General governments","Taxes on production and imports","Dollars","81","millions","6","v62425537","1.1.1.11","279516","","","","0"
"2021-01","Canada","2016A000011124","Seasonally adjusted at annual rates","General governments","Taxes on production and imports","Dollars","81","millions","6","v62425537","1.1.1.11","288892","","","","0"
"2021-04","Canada","2016A000011124","Seasonally adjusted at annual rates","General governments","Taxes on production and imports","Dollars","81","millions","6","v62425537","1.1.1.11","291100","","","","0"
"2020-04","Canada","2016A000011124","Seasonally adjusted at annual rates","General governments","Taxes on production","Dollars","81","millions","6","v62425538","1.1.1.12","108164","","","","0"
"2020-07","Canada","2016A000011124","Seasonally adjusted at annual rates","General governments","Taxes on production","Dollars","81","millions","6","v62425538","1.1.1.12","111412","","","","0"
"2020-10","Canada","2016A000011124","Seasonally adjusted at annual rates","General governments","Taxes on production","Dollars","81","millions","6","v62425538","1.1.1.12","112528","","","","0"
"2021-01","Canada","2016A000011124","Seasonally adjusted at annual rates","General governments","Taxes on production","Dollars","81","millions","6","v62425538","1.1.1.12","114544","","","","0"
"2021-04","Canada","2016A000011124","Seasonally adjusted at annual rates","General governments","Taxes on production","Dollars","81","millions","6","v62425538","1.1.1.12","115244","","","","0"
"2020-04","Canada","2016A000011124","Seasonally adjusted at annual rates","General governments","Taxes on products","Dollars","81","millions","6","v62425539","1.1.1.19","141900","","","","0"
"2020-07","Canada","2016A000011124","Seasonally adjusted at annual rates","General governments","Taxes on products","Dollars","81","millions","6","v62425539","1.1.1.19","168336","","","","0"
"2020-10","Canada","2016A000011124","Seasonally adjusted at annual rates","General governments","Taxes on products","Dollars","81","millions","6","v62425539","1.1.1.19","166988","","","","0"
"2021-01","Canada","2016A000011124","Seasonally adjusted at annual rates","General governments","Taxes on products","Dollars","81","millions","6","v62425539","1.1.1.19","174348","","","","0"
"2021-04","Canada","2016A000011124","Seasonally adjusted at annual rates","General governments","Taxes on products","Dollars","81","millions","6","v62425539","1.1.1.19","175856","","","","0"
